Date,Time,Nitrogen dioxide
01/01/2024,00:00:00,0.26213
01/01/2024,01:00:00,0.08738
01/01/2024,02:00:00,0.26213
01/01/2024,03:00:00,0.32766
01/01/2024,04:00:00,0.1966
01/01/2024,05:00:00,0.52426
01/01/2024,06:00:00,0.65532
01/01/2024,07:00:00,0.78639
01/01/2024,08:00:00,0.78639
01/01/2024,09:00:00,no data
01/01/2024,10:00:00,no data
01/01/2024,11:00:00,no data
01/01/2024,12:00:00,3.14556
01/01/2024,13:00:00,2.35917
01/01/2024,14:00:00,1.76938
01/01/2024,15:00:00,2.68683
01/01/2024,16:00:00,1.31065
01/01/2024,17:00:00,1.31065
01/01/2024,18:00:00,1.17959
01/01/2024,19:00:00,0.91745
01/01/2024,20:00:00,0.58979
01/01/2024,21:00:00,0.45873
01/01/2024,22:00:00,0.58979
01/01/2024,23:00:00,0.32766
,,20.53351
,,21
,,0.97778619
,,87.5
