Site Name,Birmingham A4540 Roadside
Site Type,Urban Traffic
Region,Birmingham
Latitude,52.476145
Longitude,-1.874978
Date,Time,Nitrogen dioxide,Status,Ozone,Status,PM10,Status,PM2.5,Status,Sulphur dioxide,Status
2024-01-01,00:00,8.92151,V,62.33236,V,-99,V,-99,V,2.18837,V
2024-01-01,01:00,8.78182,V,63.33021,V,-99,V,-99,V,1.48809,V
2024-01-01,02:00,8.25901,V,61.61724,V,-99,V,-99,V,1.31302,V
2024-01-01,03:00,7.36963,V,63.01423,V,-99,V,-99,V,0.91912,V
2024-01-01,04:00,7.84072,V,63.56305,V,-99,V,-99,V,1.05042,V
2024-01-01,05:00,7.99774,V,63.56305,V,-99,V,-99,V,0.91912,V
2024-01-01,06:00,9.51257,V,62.36563,V,-99,V,-99,V,0.78781,V
2024-01-01,07:00,9.87941,V,59.52175,V,-99,V,-99,V,0.91912,V
2024-01-01,08:00,14.27005,V,55.08132,V,-99,V,-99,V,0.19695,V
2024-01-01,09:00,14.42788,V,55.77982,V,-99,V,-99,V,0.39391,V
2024-01-01,10:00,18.03684,V,52.23745,V,-99,V,-99,V,0.59086,V
2024-01-01,11:00,13.17698,V,59.2224,V,-99,V,-99,V,0.59086,V
2024-01-01,12:00,14.1706,V,57.92519,V,-99,V,-99,V,0.52521,V
2024-01-01,13:00,14.63742,V,58.37423,V,-99,V,-99,V,0.39391,V
2024-01-01,14:00,18.03311,V,54.08347,V,-99,V,-99,V,0.72216,V
2024-01-01,15:00,24.93113,V,48.04648,V,-99,V,-99,V,0.98477,V
2024-01-01,16:00,28.32816,V,44.95314,V,-99,V,-99,V,0.85347,V
2024-01-01,17:00,27.75363,V,48.5953,V,-99,V,-99,V,0.91912,V
2024-01-01,18:00,19.33972,V,55.13121,V,-99,V,-99,V,1.11607,V
2024-01-01,19:00,14.42548,V,59.92089,V,-99,V,-99,V,1.24737,V
2024-01-01,20:00,15.57639,V,59.27229,V,-99,V,-99,V,1.50998,V
2024-01-01,21:00,12.23162,V,61.56735,V,-99,V,-99,V,1.77258,V
2024-01-01,22:00,12.28121,V,66.40692,V,-99,V,-99,V,2.03518,V
2024-01-01,23:00,8.93804,V,75.28778,V,-99,V,-99,V,2.10084,V
2024-01-02,00:00,7.66531,V,75.10484,V,-99,V,-99,V,0.52511,V
2024-01-02,01:00,7.94435,V,72.44391,V,-99,V,-99,V,0.52511,V
2024-01-02,02:00,4.54688,V,76.83445,V,-99,V,-99,V,0.52511,V
2024-01-02,03:00,4.39173,V,79.32908,V,-99,V,-99,V,0.32819,V
2024-01-02,04:00,7.63038,V,70.74757,V,-99,V,-99,V,0.32819,V
2024-01-02,05:00,7.21343,V,71.24649,V,-99,V,-99,V,0.39383,V
2024-01-02,06:00,10.19216,V,68.5024,V,-99,V,-99,V,0.45947,V
2024-01-02,07:00,19.75673,V,57.02713,V,-99,V,-99,V,0.52511,V
2024-01-02,08:00,41.71537,V,38.11787,V,-99,V,-99,V,0.78766,V
2024-01-02,09:00,47.99388,V,33.72733,V,-99,V,-99,V,0.85329,V
2024-01-02,10:00,41.55942,V,38.51701,V,-99,V,-99,V,1.31276,V
2024-01-02,11:00,17.97984,V,67.10541,V,-99,V,-99,V,1.31276,V
2024-01-02,12:00,15.6295,V,67.95359,V,-99,V,-99,V,1.44404,V
