Hourly measurement data supplied by UK-air on,London Bloomsbury
Site Name,London Bloomsbury
Site Type,Urban Background
Region,Greater London
Latitude,-0.125889
Longitude,-0.125889
Notes:	 [1] All Data GMT hour ending;  [2] Some shorthand is used, V = Verified, P = Provisionally Verified, N = Not Verified, S = Suspect, [3] Unit of measurement (for pollutants) = ugm-3, [4] Instrument type is included in 'Status' for PM10 and PM2.5
Date,Time,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
2024-01-01,00:00,62.33236,1,8.92151,1,2.18837,1,-99,1,-99,1
2024-01-01,01:00,63.33021,1,8.78182,1,1.48809,1,-99,1,-99,1
2024-01-01,02:00,61.61724,1,8.25901,1,1.31302,1,-99,1,-99,1
2024-01-01,03:00,63.01423,1,7.36963,1,0.91912,1,-99,1,-99,1
2024-01-01,04:00,63.56305,1,7.84072,1,1.05042,1,-99,1,-99,1
2024-01-01,05:00,63.56305,1,7.99774,1,0.91912,1,-99,1,-99,1
2024-01-01,06:00,62.36563,1,9.51257,1,0.78781,1,-99,1,-99,1
2024-01-01,07:00,59.52175,1,9.87941,1,0.91912,1,-99,1,-99,1
2024-01-01,08:00,55.08132,1,14.27005,1,0.19695,1,-99,1,-99,1
2024-01-01,09:00,55.77982,1,14.42788,1,0.39391,1,-99,1,-99,1
2024-01-01,10:00,52.23745,1,18.03684,1,0.59086,1,-99,1,-99,1
2024-01-01,11:00,59.2224,1,13.17698,1,0.59086,1,-99,1,-99,1
2024-01-01,12:00,57.92519,1,14.1706,1,0.52521,1,-99,1,-99,1
2024-01-01,13:00,58.37423,1,14.63742,1,0.39391,1,-99,1,-99,1
2024-01-01,14:00,54.08347,1,18.03311,1,0.72216,1,-99,1,-99,1
2024-01-01,15:00,48.04648,1,24.93113,1,0.98477,1,-99,1,-99,1
2024-01-01,16:00,44.95314,1,28.32816,1,0.85347,1,-99,1,-99,1
2024-01-01,17:00,48.5953,1,27.75363,1,0.91912,1,-99,1,-99,1
2024-01-01,18:00,55.13121,1,19.33972,1,1.11607,1,-99,1,-99,1
2024-01-01,19:00,59.92089,1,14.42548,1,1.24737,1,-99,1,-99,1
2024-01-01,20:00,59.27229,1,15.57639,1,1.50998,1,-99,1,-99,1
2024-01-01,21:00,61.56735,1,12.23162,1,1.77258,1,-99,1,-99,1
2024-01-01,22:00,66.40692,1,12.28121,1,2.03518,1,-99,1,-99,1
2024-01-01,23:00,75.28778,1,8.93804,1,2.10084,1,-99,1,-99,1
2024-01-02,00:00,75.10484,1,7.66531,1,0.52511,1,-99,1,-99,1
2024-01-02,01:00,72.44391,1,7.94435,1,0.52511,1,-99,1,-99,1
2024-01-02,02:00,76.83445,1,4.54688,1,0.52511,1,-99,1,-99,1
2024-01-02,03:00,79.32908,1,4.39173,1,0.32819,1,-99,1,-99,1
2024-01-02,04:00,70.74757,1,7.63038,1,0.32819,1,-99,1,-99,1
2024-01-02,05:00,71.24649,1,7.21343,1,0.39383,1,-99,1,-99,1
2024-01-02,06:00,68.5024,1,10.19216,1,0.45947,1,-99,1,-99,1
2024-01-02,07:00,57.02713,1,19.75673,1,0.52511,1,-99,1,-99,1
2024-01-02,08:00,38.11787,1,41.71537,1,0.78766,1,-99,1,-99,1
2024-01-02,09:00,33.72733,1,47.99388,1,0.85329,1,-99,1,-99,1
2024-01-02,10:00,38.51701,1,41.55942,1,1.31276,1,-99,1,-99,1
2024-01-02,11:00,67.10541,1,17.97984,1,1.31276,1,-99,1,-99,1
2024-01-02,12:00,67.95359,1,15.6295,1,1.44404,1,-99,1,-99,1
2024-01-02,13:00,69.55015,1,11.65849,1,2.03478,1,-99,1,-99,1
2024-01-02,14:00,73.54155,1,10.03593,1,2.23169,1,10.55,1,6.368,1
2024-01-02,15:00,80.42671,1,7.58055,1,2.29733,1,5.8,1,2.311,1
2024-01-02,16:00,81.12521,1,9.82907,1,2.16605,1,4,1,1.439,1
2024-01-02,17:00,73.14241,1,17.9836,1,1.50967,1,3.95,1,2.17,1
2024-01-02,18:00,73.69122,1,16.25654,1,1.11585,1,6.05,1,3.349,1
2024-01-02,19:00,70.19875,1,18.19181,1,1.05021,1,8.35,1,4.835,1
2024-01-02,20:00,70.39832,1,14.74038,1,0.98457,1,12.225,1,6.604,1
2024-01-02,21:00,69.89939,1,11.44813,1,0.98457,1,12.725,1,7.005,1
2024-01-02,22:00,69.10111,1,8.62535,1,0.85329,1,13.25,1,7.146,1
2024-01-02,23:00,69.25079,1,6.89964,1,0.72202,1,12,1,6.486,1
2024-01-03,00:00,69.91602,1,6.20222,1,1.05,1,11.5,1,6.061,1
2024-01-03,01:00,68.31946,1,6.62061,1,1.05,1,14.675,1,7.594,1
2024-01-03,02:00,71.24649,1,6.27316,1,1.05,1,16.025,1,8.561,1
2024-01-03,03:00,71.89509,1,6.68956,1,0.98437,1,12.875,1,6.958,1
2024-01-03,04:00,74.43961,1,5.43574,1,1.05,1,10.4,1,5.401,1
2024-01-03,05:00,72.94284,1,6.37631,1,0.98437,1,8.6,1,4.434,1
2024-01-03,06:00,68.05337,1,8.93728,1,0.91875,1,9.025,1,4.481,1
2024-01-03,07:00,62.46541,1,13.69426,1,0.91875,1,13.9,1,6.392,1
2024-01-03,08:00,56.22885,1,19.49876,1,1.18125,1,17.975,1,8.868,1
2024-01-03,09:00,57.72562,1,18.09008,1,1.18125,1,21.4,1,10.495,1
2024-01-03,10:00,61.41767,1,15.68695,1,1.05,1,17.75,1,8.962,1
2024-01-03,11:00,64.5609,1,13.90897,1,1.24687,1,14.5,1,7.5,1
2024-01-03,12:00,53.03573,1,32.27117,1,1.18125,1,7.95,1,4.222,1
2024-01-03,13:00,53.2353,1,29.08071,1,1.44375,1,7.975,1,4.434,1
2024-01-03,14:00,60.22025,1,22.69356,1,1.24687,1,6.775,1,3.632,1
2024-01-03,15:00,59.67143,1,25.56534,1,1.18125,1,7.15,1,3.656,1
2024-01-03,16:00,51.53895,1,36.33503,1,0.98437,1,7.1,1,4.175,1
2024-01-03,17:00,44.65379,1,36.58789,1,0.85312,1,10.25,1,5.731,1
2024-01-03,18:00,51.2396,1,30.15906,1,0.72187,1,10.225,1,6.274,1
2024-01-03,19:00,46.20046,1,42.18961,1,0.65625,1,6.825,1,4.764,1
2024-01-03,20:00,44.50411,1,29.47813,1,0.2625,1,8.275,1,5.873,1
2024-01-03,21:00,47.34798,1,25.55992,1,0.19688,1,7,1,4.859,1
2024-01-03,22:00,41.31099,1,29.11507,1,0.39375,1,6.65,1,4.057,1
2024-01-03,23:00,36.92045,1,29.99796,1,0.45937,1,8.15,1,4.859,1
2024-01-04,00:00,49.55988,1,14.56392,1,0.9623,1,7.25,1,3.986,1
2024-01-04,01:00,56.47831,1,9.54683,1,0.52489,1,4.85,1,2.83,1
2024-01-04,02:00,59.42197,1,8.10124,1,0.78734,1,3.975,1,2.241,1
2024-01-04,03:00,63.51315,1,6.4811,1,0.45928,1,5.075,1,2.594,1
2024-01-04,04:00,64.21165,1,6.84633,1,0.45928,1,7.325,1,3.679,1
2024-01-04,05:00,60.5196,1,10.08688,1,0.32806,1,8.725,1,4.717,1
2024-01-04,06:00,56.17896,1,12.75264,1,0.26245,1,10.975,1,5.566,1
2024-01-04,07:00,53.43487,1,15.41812,1,0.26245,1,11.175,1,5.873,1
2024-01-04,08:00,46.05078,1,22.42422,1,0.32806,1,12.575,1,6.132,1
2024-01-04,09:00,46.30024,1,24.52367,1,0.26245,1,15.775,1,6.722,1
2024-01-04,10:00,46.10067,1,25.78187,1,0.45928,1,17.65,1,7.335,1
2024-01-04,11:00,49.49336,1,24.89164,1,0.72173,1,21.725,1,10.731,1
2024-01-04,12:00,49.04433,1,27.23868,1,0.78734,1,19.85,1,8.939,1
2024-01-04,13:00,38.46712,1,39.41926,1,0.78734,1,21.2,1,9.976,1
2024-01-04,14:00,29.48647,1,47.90242,1,1.50907,1,22.425,1,9.953,1
2024-01-04,15:00,25.14582,1,49.58603,1,1.44345,1,19.9,1,9.576,1
2024-01-04,16:00,31.63185,1,47.96534,1,1.44345,1,12.475,1,6.557,1
2024-01-04,17:00,40.01379,1,39.74482,1,1.37784,1,8,1,5.613,1
2024-01-04,18:00,48.89465,1,29.49763,1,1.37784,1,5.875,1,4.363,1
2024-01-04,19:00,45.85121,1,31.00532,1,1.37784,1,5.05,1,3.75,1
2024-01-04,20:00,33.32819,1,36.96826,1,1.44345,1,5.1,1,4.363,1
2024-01-04,21:00,27.49077,1,43.18371,1,1.7059,1,5.675,1,4.575,1
2024-01-04,22:00,33.67744,1,36.28431,1,1.64029,1,3.675,1,3.09,1
2024-01-04,23:00,53.18541,1,20.86236,1,1.57468,1,2.2,1,1.722,1
2024-01-05,00:00,61.93322,1,12.69422,1,1.4869,1,1.25,1,0.967,1
2024-01-05,01:00,71.04692,1,8.36979,1,1.13704,1,1.175,1,0.873,1
2024-01-05,02:00,76.18585,1,7.47918,1,1.18077,1,1.4,1,0.943,1
2024-01-05,03:00,70.09896,1,8.36805,1,0.91838,1,1.625,1,1.226,1
2024-01-05,04:00,49.54325,1,15.78862,1,0.98398,1,3.825,1,3.208,1
