Date,Time,Nitrogen dioxide,Ozone,PM10,PM2.5,Sulphur dioxide
2024-01-01,00:00,8.92151,62.33236,-99,-99,2.18837
2024-01-01,01:00,8.78182,63.33021,-99,-99,1.48809
2024-01-01,02:00,8.25901,61.61724,-99,-99,1.31302
2024-01-01,03:00,7.36963,63.01423,-99,-99,0.91912
2024-01-01,04:00,7.84072,63.56305,-99,-99,1.05042
2024-01-01,05:00,7.99774,63.56305,-99,-99,0.91912
2024-01-01,06:00,9.51257,62.36563,-99,-99,0.78781
2024-01-01,07:00,9.87941,59.52175,-99,-99,0.91912
2024-01-01,08:00,14.27005,55.08132,-99,-99,0.19695
2024-01-01,09:00,14.42788,55.77982,-99,-99,0.39391
2024-01-01,10:00,18.03684,52.23745,-99,-99,0.59086
2024-01-01,11:00,13.17698,59.2224,-99,-99,0.59086
2024-01-01,12:00,14.1706,57.92519,-99,-99,0.52521
2024-01-01,13:00,14.63742,58.37423,-99,-99,0.39391
2024-01-01,14:00,18.03311,54.08347,-99,-99,0.72216
2024-01-01,15:00,24.93113,48.04648,-99,-99,0.98477
2024-01-01,16:00,28.32816,44.95314,-99,-99,0.85347
2024-01-01,17:00,27.75363,48.5953,-99,-99,0.91912
2024-01-01,18:00,19.33972,55.13121,-99,-99,1.11607
2024-01-01,19:00,14.42548,59.92089,-99,-99,1.24737
2024-01-01,20:00,15.57639,59.27229,-99,-99,1.50998
2024-01-01,21:00,12.23162,61.56735,-99,-99,1.77258
2024-01-01,22:00,12.28121,66.40692,-99,-99,2.03518
2024-01-01,23:00,8.93804,75.28778,-99,-99,2.10084
2024-01-02,00:00,7.66531,75.10484,-99,-99,0.52511
2024-01-02,01:00,7.94435,72.44391,-99,-99,0.52511
2024-01-02,02:00,4.54688,76.83445,-99,-99,0.52511
2024-01-02,03:00,4.39173,79.32908,-99,-99,0.32819
2024-01-02,04:00,7.63038,70.74757,-99,-99,0.32819
2024-01-02,05:00,7.21343,71.24649,-99,-99,0.39383
2024-01-02,06:00,10.19216,68.5024,-99,-99,0.45947
2024-01-02,07:00,19.75673,57.02713,-99,-99,0.52511
2024-01-02,08:00,41.71537,38.11787,-99,-99,0.78766
2024-01-02,09:00,47.99388,33.72733,-99,-99,0.85329
2024-01-02,10:00,41.55942,38.51701,-99,-99,1.31276
2024-01-02,11:00,17.97984,67.10541,-99,-99,1.31276
2024-01-02,12:00,15.6295,67.95359,-99,-99,1.44404
2024-01-02,13:00,11.65849,69.55015,-99,-99,2.03478
2024-01-02,14:00,10.03593,73.54155,10.55,6.368,2.23169
2024-01-02,15:00,7.58055,80.42671,5.8,2.311,2.29733
2024-01-02,16:00,9.82907,81.12521,4,1.439,2.16605
2024-01-02,17:00,17.9836,73.14241,3.95,2.17,1.50967
2024-01-02,18:00,16.25654,73.69122,6.05,3.349,1.11585
2024-01-02,19:00,18.19181,70.19875,8.35,4.835,1.05021
2024-01-02,20:00,14.74038,70.39832,12.225,6.604,0.98457
2024-01-02,21:00,11.44813,69.89939,12.725,7.005,0.98457
2024-01-02,22:00,8.62535,69.10111,13.25,7.146,0.85329
2024-01-02,23:00,6.89964,69.25079,12,6.486,0.72202
2024-01-03,00:00,6.20222,69.91602,11.5,6.061,1.05
2024-01-03,01:00,6.62061,68.31946,14.675,7.594,1.05
2024-01-03,02:00,6.27316,71.24649,16.025,8.561,1.05
2024-01-03,03:00,6.68956,71.89509,12.875,6.958,0.98437
2024-01-03,04:00,5.43574,74.43961,10.4,5.401,1.05
2024-01-03,05:00,6.37631,72.94284,8.6,4.434,0.98437
